district_id,party_id,votes,vote_share,threshold_status
tbilisi,yes,227000,0.710,notrun
tbilisi,no,93000,0.290,notrun
imereti,yes,98000,0.632,notrun
imereti,no,57000,0.368,notrun
kakheti,yes,69000,0.600,notrun
kakheti,no,46000,0.400,notrun
samtskhe,yes,32000,0.582,notrun
samtskhe,no,23000,0.418,notrun
kvemo_kartli,yes,61000,0.610,notrun
kvemo_kartli,no,39000,0.390,notrun
shida_kartli,yes,47000,0.627,notrun
shida_kartli,no,28000,0.373,notrun
mtskheta,yes,26000,0.650,notrun
mtskheta,no,14000,0.350,notrun
racha,yes,8900,0.593,notrun
racha,no,6100,0.407,notrun
samegrelo,yes,73000,0.664,notrun
samegrelo,no,37000,0.336,notrun
guria,yes,26000,0.684,notrun
guria,no,12000,0.316,notrun
adjara,yes,62000,0.620,notrun
adjara,no,38000,0.380,notrun
