district_id,party_id,candidate_name,votes,vote_share,seats_pr,seats_smd,threshold_status
tbilisi_w,gd,,68640,0.528,0,0,notrun
tbilisi_w,unm,,32500,0.25,0,0,notrun
tbilisi_w,european_georgia,,13000,0.1,0,0,notrun
tbilisi_w,other,,14560,0.112,0,0,notrun
tbilisi_e,gd,,73656,0.558,0,0,notrun
tbilisi_e,unm,,33000,0.25,0,0,notrun
tbilisi_e,european_georgia,,13200,0.1,0,0,notrun
tbilisi_e,other,,14784,0.112,0,0,notrun
imereti_w,gd,,31680,0.528,0,0,notrun
imereti_w,unm,,15000,0.25,0,0,notrun
imereti_w,european_georgia,,6000,0.1,0,0,notrun
imereti_w,other,,6720,0.112,0,0,notrun
imereti_e,gd,,34038,0.558,0,0,notrun
imereti_e,unm,,15250,0.25,0,0,notrun
imereti_e,european_georgia,,6100,0.1,0,0,notrun
imereti_e,other,,6832,0.112,0,0,notrun
kakheti_w,gd,,22176,0.528,0,0,notrun
kakheti_w,unm,,10500,0.25,0,0,notrun
kakheti_w,european_georgia,,4200,0.1,0,0,notrun
kakheti_w,other,,4704,0.112,0,0,notrun
kakheti_e,gd,,23436,0.558,0,0,notrun
kakheti_e,unm,,10500,0.25,0,0,notrun
kakheti_e,european_georgia,,4200,0.1,0,0,notrun
kakheti_e,other,,4704,0.112,0,0,notrun
samtskhe_w,gd,,10560,0.528,0,0,notrun
samtskhe_w,unm,,5000,0.25,0,0,notrun
samtskhe_w,european_georgia,,2000,0.1,0,0,notrun
samtskhe_w,other,,2240,0.112,0,0,notrun
samtskhe_e,gd,,11160,0.558,0,0,notrun
samtskhe_e,unm,,5000,0.25,0,0,notrun
samtskhe_e,european_georgia,,2000,0.1,0,0,notrun
samtskhe_e,other,,2240,0.112,0,0,notrun
kvemo_kartli_w,gd,,29040,0.528,0,0,notrun
kvemo_kartli_w,unm,,13750,0.25,0,0,notrun
kvemo_kartli_w,european_georgia,,5500,0.1,0,0,notrun
kvemo_kartli_w,other,,6160,0.112,0,0,notrun
kvemo_kartli_e,gd,,30690,0.558,0,0,notrun
kvemo_kartli_e,unm,,13750,0.25,0,0,notrun
kvemo_kartli_e,european_georgia,,5500,0.1,0,0,notrun
kvemo_kartli_e,other,,6160,0.112,0,0,notrun
shida_kartli_w,gd,,18480,0.528,0,0,notrun
shida_kartli_w,unm,,8750,0.25,0,0,notrun
shida_kartli_w,european_georgia,,3500,0.1,0,0,notrun
shida_kartli_w,other,,3920,0.112,0,0,notrun
shida_kartli_e,gd,,19530,0.558,0,0,notrun
shida_kartli_e,unm,,8750,0.25,0,0,notrun
shida_kartli_e,european_georgia,,3500,0.1,0,0,notrun
shida_kartli_e,other,,3920,0.112,0,0,notrun
mtskheta_w,gd,,7392,0.528,0,0,notrun
mtskheta_w,unm,,3500,0.25,0,0,notrun
mtskheta_w,european_georgia,,1400,0.1,0,0,notrun
mtskheta_w,other,,1568,0.112,0,0,notrun
mtskheta_e,gd,,7812,0.558,0,0,notrun
mtskheta_e,unm,,3500,0.25,0,0,notrun
mtskheta_e,european_georgia,,1400,0.1,0,0,notrun
mtskheta_e,other,,1568,0.112,0,0,notrun
racha_w,gd,,3432,0.528,0,0,notrun
racha_w,unm,,1625,0.25,0,0,notrun
racha_w,european_georgia,,650,0.1,0,0,notrun
racha_w,other,,728,0.112,0,0,notrun
racha_e,gd,,3627,0.558,0,0,notrun
racha_e,unm,,1625,0.25,0,0,notrun
racha_e,european_georgia,,650,0.1,0,0,notrun
racha_e,other,,728,0.112,0,0,notrun
samegrelo_w,gd,,23232,0.528,0,0,notrun
samegrelo_w,unm,,11000,0.25,0,0,notrun
samegrelo_w,european_georgia,,4400,0.1,0,0,notrun
samegrelo_w,other,,4928,0.112,0,0,notrun
samegrelo_e,gd,,24552,0.558,0,0,notrun
samegrelo_e,unm,,11000,0.25,0,0,notrun
samegrelo_e,european_georgia,,4400,0.1,0,0,notrun
samegrelo_e,other,,4928,0.112,0,0,notrun
guria_w,gd,,8976,0.528,0,0,notrun
guria_w,unm,,4250,0.25,0,0,notrun
guria_w,european_georgia,,1700,0.1,0,0,notrun
guria_w,other,,1904,0.112,0,0,notrun
guria_e,gd,,9486,0.558,0,0,notrun
guria_e,unm,,4250,0.25,0,0,notrun
guria_e,european_georgia,,1700,0.1,0,0,notrun
guria_e,other,,1904,0.112,0,0,notrun
adjara_w,gd,,21120,0.528,0,0,notrun
adjara_w,unm,,10000,0.25,0,0,notrun
adjara_w,european_georgia,,4000,0.1,0,0,notrun
adjara_w,other,,4480,0.112,0,0,notrun
adjara_e,gd,,22320,0.558,0,0,notrun
adjara_e,unm,,10000,0.25,0,0,notrun
adjara_e,european_georgia,,4000,0.1,0,0,notrun
adjara_e,other,,4480,0.112,0,0,notrun
