district_id,party_id,votes,vote_share,threshold_status
tbilisi_w,yes,138000,0.690,notrun
tbilisi_w,no,62000,0.310,notrun
tbilisi_e,yes,89000,0.730,notrun
tbilisi_e,no,33000,0.270,notrun
imereti_w,yes,47000,0.610,notrun
imereti_w,no,30000,0.390,notrun
imereti_e,yes,51000,0.654,notrun
imereti_e,no,27000,0.346,notrun
kakheti_w,yes,34000,0.580,notrun
kakheti_w,no,24600,0.420,notrun
kakheti_e,yes,35000,0.619,notrun
kakheti_e,no,21500,0.381,notrun
samtskhe_w,yes,16000,0.571,notrun
samtskhe_w,no,12000,0.429,notrun
samtskhe_e,yes,16000,0.590,notrun
samtskhe_e,no,11100,0.410,notrun
kvemo_kartli_w,yes,30000,0.590,notrun
kvemo_kartli_w,no,20800,0.410,notrun
kvemo_kartli_e,yes,31000,0.630,notrun
kvemo_kartli_e,no,18200,0.370,notrun
shida_kartli_w,yes,23000,0.610,notrun
shida_kartli_w,no,14700,0.390,notrun
shida_kartli_e,yes,24000,0.640,notrun
shida_kartli_e,no,13500,0.360,notrun
mtskheta_w,yes,12500,0.631,notrun
mtskheta_w,no,7300,0.369,notrun
mtskheta_e,yes,13500,0.668,notrun
mtskheta_e,no,6700,0.332,notrun
racha_w,yes,4300,0.573,notrun
racha_w,no,3200,0.427,notrun
racha_e,yes,4600,0.622,notrun
racha_e,no,2800,0.378,notrun
samegrelo_w,yes,36000,0.651,notrun
samegrelo_w,no,19300,0.349,notrun
samegrelo_e,yes,37000,0.681,notrun
samegrelo_e,no,17400,0.319,notrun
guria_w,yes,12900,0.672,notrun
guria_w,no,6300,0.328,notrun
guria_e,yes,13100,0.701,notrun
guria_e,no,5600,0.299,notrun
adjara_w,yes,31000,0.610,notrun
adjara_w,no,19800,0.390,notrun
adjara_e,yes,31000,0.630,notrun
adjara_e,no,18200,0.370,notrun
