district_id,party_id,votes,vote_share,seats_pr,seats_smd,threshold_status
tbilisi,gd,148600,0.548,14,16,passed
tbilisi,unm,56400,0.208,5,4,passed
tbilisi,european_georgia,34900,0.129,3,2,passed
tbilisi,other,31100,0.115,3,3,failed
imereti,gd,72700,0.562,13,15,passed
imereti,unm,25800,0.200,4,3,passed
imereti,european_georgia,15400,0.119,2,2,passed
imereti,other,15400,0.119,3,2,failed
kakheti,gd,63400,0.589,13,14,passed
kakheti,unm,19100,0.177,3,3,passed
kakheti,european_georgia,13600,0.126,2,1,passed
kakheti,other,11700,0.109,2,2,failed
samtskhe,gd,31400,0.562,10,11,passed
samtskhe,unm,11100,0.198,3,2,passed
samtskhe,european_georgia,6800,0.121,2,1,passed
samtskhe,other,6800,0.121,1,2,failed
kvemo_kartli,gd,61600,0.541,12,13,passed
kvemo_kartli,unm,24600,0.216,5,5,passed
kvemo_kartli,european_georgia,13600,0.119,2,2,passed
kvemo_kartli,other,14200,0.124,3,2,failed
shida_kartli,gd,40600,0.559,11,12,passed
shida_kartli,unm,14800,0.203,3,3,passed
shida_kartli,european_georgia,8700,0.119,2,1,passed
shida_kartli,other,8700,0.119,2,2,failed
mtskheta,gd,22800,0.569,10,10,passed
mtskheta,unm,8300,0.208,2,2,passed
mtskheta,european_georgia,4800,0.120,1,1,passed
mtskheta,other,4100,0.103,2,2,failed
racha,gd,6600,0.593,7,7,passed
racha,unm,2200,0.194,1,1,passed
racha,european_georgia,1300,0.116,1,1,passed
racha,other,1100,0.100,1,1,failed
samegrelo,gd,69600,0.551,13,14,passed
samegrelo,unm,25800,0.205,4,4,passed
samegrelo,european_georgia,14800,0.117,2,2,passed
samegrelo,other,16000,0.127,3,2,failed
guria,gd,28300,0.561,9,10,passed
guria,unm,10500,0.207,2,2,passed
guria,european_georgia,6200,0.122,1,1,passed
guria,other,5600,0.110,2,1,failed
adjara,gd,61600,0.549,9,10,passed
adjara,unm,24600,0.220,3,3,passed
adjara,european_georgia,13600,0.121,2,1,passed
adjara,other,12300,0.110,2,2,failed
