district_id,vote_type,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list
tbilisi_w,smd,260000,146900,0.565,55822,99892,139555,7345
tbilisi_e,smd,264000,154440,0.585,58687,105019,146718,7722
imereti_w,smd,120000,67800,0.565,25764,46104,64410,3390
imereti_e,smd,122000,71370,0.585,27120,48531,67801,3568
kakheti_w,smd,84000,47459,0.565,18034,32272,45086,2372
kakheti_e,smd,84000,49140,0.585,18673,33415,46683,2457
samtskhe_w,smd,40000,22599,0.565,8587,15367,21469,1129
samtskhe_e,smd,40000,23400,0.585,8892,15912,22230,1170
kvemo_kartli_w,smd,110000,62149,0.565,23616,42261,59041,3107
kvemo_kartli_e,smd,110000,64349,0.585,24452,43757,61131,3217
shida_kartli_w,smd,70000,39549,0.565,15028,26893,37571,1977
shida_kartli_e,smd,70000,40950,0.585,15561,27846,38902,2047
mtskheta_w,smd,28000,15819,0.565,6011,10756,15028,790
mtskheta_e,smd,28000,16379,0.585,6224,11137,15560,818
racha_w,smd,13000,7344,0.565,2790,4993,6976,367
racha_e,smd,13000,7604,0.585,2889,5170,7223,380
samegrelo_w,smd,88000,49719,0.565,18893,33808,47233,2485
samegrelo_e,smd,88000,51480,0.585,19562,35006,48906,2574
guria_w,smd,34000,19210,0.565,7299,13062,18249,960
guria_e,smd,34000,19890,0.585,7558,13525,18895,994
adjara_w,smd,80000,45199,0.565,17175,30735,42939,2259
adjara_e,smd,80000,46800,0.585,17784,31824,44460,2340
