district_id,vote_type,registered,voted,turnout_pct
national,pr,3596000,2048000,0.570
national,smd,3596000,2048000,0.570
tbilisi,pr,628000,369000,0.588
tbilisi,smd,628000,369000,0.588
imereti,pr,293000,164000,0.560
imereti,smd,293000,164000,0.560
kakheti,pr,213000,113500,0.533
kakheti,smd,213000,113500,0.533
samtskhe,pr,134000,64500,0.481
samtskhe,smd,134000,64500,0.481
kvemo_kartli,pr,183000,93000,0.508
kvemo_kartli,smd,183000,93000,0.508
shida_kartli,pr,162000,76000,0.469
shida_kartli,smd,162000,76000,0.469
mtskheta,pr,101000,48000,0.475
mtskheta,smd,101000,48000,0.475
racha,pr,41000,15500,0.378
racha,smd,41000,15500,0.378
samegrelo,pr,236000,126000,0.534
samegrelo,smd,236000,126000,0.534
guria,pr,82000,40000,0.488
guria,smd,82000,40000,0.488
adjara,pr,194000,104500,0.539
adjara,smd,194000,104500,0.539
